100,4,0,73,17.104174852371216,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,74,4.015633583068848,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
005,3,0,60,1.992755651473999,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,2,0,60,4.967150926589966,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,57,14.038513898849487,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,54,5.0440168380737305,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,68,4.018988609313965,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,4,0,62,9.998256206512451,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,0,64,1.2896432876586914,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,2,0,64,5.233901262283325,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,0,67,8.411731719970703,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,0,60,3.686952829360962,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,62,6.667579650878906,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,0,61,4.088648319244385,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,0,68,4.993688106536865,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,0,68,10.57753610610962,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,0,63,3.383115530014038,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,58,2.38440203666687,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,68,2.598627805709839,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,44,7.767598867416382,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,69,12.067127227783203,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,1,0,69,4.883934736251831,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,71,8.949029207229614,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,71,5.986607313156128,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
030,2,0,69,6.9144816398620605,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,0,72,5.222015619277954,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,0,74,13.969445943832397,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,0,74,5.08254075050354,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,0,73,10.600205659866333,{'C': 1, 'gamma': 0.001, 'kernel': 'poly'}
060,3,0,74,8.703971862792969,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,2,0,76,17.45103430747986,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,75,20.99528980255127,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,0,76,8.163561344146729,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,73,6.676242113113403,{'C': 1, 'gamma': 0.001, 'kernel': 'poly'}
100,1,0,74,14.257161617279053,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,0,74,8.349064588546753,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,4,0,75,12.566768646240234,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,57,0.36193084716796875,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
005,3,0,60,1.94313383102417,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,4,0,55,6.949639558792114,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,51,4.3513829708099365,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,61,3.084761619567871,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,60,5.494472026824951,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,56,3.809993028640747,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,72,3.339818000793457,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,2,0,57,13.23223876953125,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,68,4.40243124961853,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,0,66,1.0086936950683594,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,0,67,11.871398687362671,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,0,70,1.1789240837097168,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,0,56,7.236117362976074,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,67,11.94531512260437,{'C': 1, 'gamma': 0.001, 'kernel': 'poly'}
020,1,0,72,6.0885443687438965,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,0,68,2.195568323135376,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,0,71,10.006434679031372,{'C': 10, 'gamma': 0.001, 'kernel': 'poly'}
020,3,0,66,3.0696182250976562,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,0,70,7.720542669296265,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,0,0,73,1.6598010063171387,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,2,0,65,3.8377134799957275,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,3,0,72,2.7183899879455566,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,1,0,69,7.185825347900391,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,76,6.434638023376465,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,66,3.640597105026245,{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}
060,4,0,74,6.81072211265564,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,0,76,7.585630178451538,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,0,70,8.285707712173462,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,74,3.754786252975464,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,2,0,76,14.843915939331055,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,74,6.774949073791504,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,0,74,19.608190774917603,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,0,0,75,7.665859937667847,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,0,75,16.00657820701599,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,0,60,1.9953019618988037,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,3,0,60,4.9541709423065186,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,2,0,55,5.872712850570679,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,57,5.827240228652954,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,68,1.2591121196746826,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,0,64,2.333601713180542,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,0,66,0.5455188751220703,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,4,0,55,8.441562175750732,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,56,0.6646506786346436,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,0,54,4.384377717971802,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,64,1.27817964553833,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,71,2.0974156856536865,{'C': 10, 'gamma': 0.001, 'kernel': 'poly'}
020,4,0,70,1.4697856903076172,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,0,68,3.888152599334717,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,0,59,6.501924991607666,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,66,6.1356589794158936,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,0,66,7.728146314620972,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,1,0,68,8.106555938720703,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,72,3.3487956523895264,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,1,0,67,0.8973433971405029,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,68,6.02896785736084,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,71,9.414456605911255,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,3,0,72,6.822946548461914,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,0,71,3.8400521278381348,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,2,0,65,3.575167417526245,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,0,74,3.604959487915039,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,0,74,7.54303503036499,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,0,75,19.70135760307312,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,73,11.28817868232727,{'C': 1, 'gamma': 0.001, 'kernel': 'poly'}
100,0,0,75,15.594249725341797,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,74,8.973499059677124,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,2,0,76,13.014452695846558,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,0,75,15.927793502807617,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,0,74,9.10120439529419,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,0,76,7.013599872589111,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,0,49,2.532691717147827,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,67,7.7771148681640625,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,0,61,11.172833442687988,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,0,0,54,7.657264471054077,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,60,7.009186267852783,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,2,0,61,1.3002314567565918,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,55,7.349793910980225,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,59,2.2031233310699463,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,50,0.959601879119873,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,64,2.0415050983428955,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,3,0,72,1.2892670631408691,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,58,0.4443387985229492,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,67,7.09697151184082,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,0,68,14.890354633331299,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,0,69,4.9194958209991455,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,2,0,72,3.519010066986084,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,0,68,1.903200626373291,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,71,0.9526174068450928,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,56,8.881623983383179,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,1,0,68,20.731446743011475,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,0,0,71,4.188607454299927,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,0,67,7.164413213729858,{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}
030,4,0,70,2.8341562747955322,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
030,2,0,69,5.477316379547119,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
