020,3,0,50,9.527156114578247,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,2,0,42,11.022108793258667,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,1,0,50,9.427050352096558,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
060,3,0,60,7.1923439502716064,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
060,2,0,56,9.33600115776062,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
030,3,0,50,8.247530937194824,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
020,0,0,50,18.404677629470825,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,1,0,51,16.633520126342773,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
060,4,0,51,16.49093532562256,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,2,0,46,15.026527643203735,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
100,3,0,54,11.579644203186035,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,56,11.193138360977173,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
100,0,0,44,11.336002826690674,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,54,11.62886667251587,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,0,51,2.9816269874572754,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,46,3.859056234359741,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,51,3.1064891815185547,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,54,1.9018757343292236,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,51,5.9966721534729,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
010,1,0,40,4.263739585876465,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
005,4,0,48,7.580575942993164,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
015,3,0,47,7.053558588027954,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,55,8.977788209915161,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,47,5.243939161300659,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,48,5.50117039680481,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,46,10.385287046432495,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,49,5.24463677406311,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
010,2,0,49,10.823408126831055,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,46,11.00528597831726,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,0,0,48,1.9611735343933105,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,49,2.62213134765625,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,51,6.561937093734741,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
020,0,0,55,6.47612738609314,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,59,11.146243333816528,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
030,1,0,50,5.546385049819946,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,2,0,60,9.55646562576294,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,4,0,64,7.73262095451355,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,3,0,59,6.015711784362793,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,2,0,53,8.404597759246826,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
060,3,0,54,8.26614499092102,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
060,4,0,46,15.484358072280884,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,2,0,55,1.2046921253204346,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,0,50,16.806432008743286,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
060,1,0,52,14.433689594268799,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
100,3,0,54,15.905771017074585,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,0,0,60,13.625693321228027,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,0,48,12.870158672332764,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,4,0,56,9.171463966369629,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,0,54,27.86928391456604,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,0,52,3.141964912414551,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
005,4,0,42,3.0217700004577637,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,44,5.453294515609741,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,1,0,53,2.3193137645721436,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,0,52,3.336974859237671,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
010,0,0,43,5.832085609436035,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,3,0,59,6.1705052852630615,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,4,0,46,5.594949007034302,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,64,1.5312917232513428,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,55,9.907085418701172,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,2,0,50,10.19805908203125,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,49,5.883716344833374,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
015,2,0,53,6.684449195861816,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,4,0,62,2.865128517150879,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,0,54,8.190271615982056,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,53,7.633888006210327,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,1,0,59,6.532195091247559,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,45,7.5120532512664795,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,2,0,56,4.381931781768799,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,43,4.139866590499878,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,1,0,60,4.926819562911987,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,0,0,54,2.7508275508880615,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
020,4,0,48,3.40824031829834,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,3,0,58,2.284515619277954,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,0,61,8.72092342376709,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,2,0,47,11.985398530960083,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,1,0,59,6.935111999511719,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,0,0,37,13.088786125183105,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,4,0,52,11.822556257247925,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,0,43,12.075843811035156,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
100,1,0,48,14.400688409805298,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,3,0,48,15.07217264175415,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,3,0,62,6.739775896072388,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,56,16.719280004501343,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,0,53,0.9505774974822998,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,63,4.60681939125061,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,47,4.993323087692261,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,50,4.5388712882995605,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
010,1,0,48,2.2817306518554688,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,50,5.338379621505737,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,53,3.2781312465667725,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,54,7.930061340332031,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,50,3.21415376663208,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,48,9.795690774917603,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
010,4,0,55,4.768383502960205,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,44,4.896559238433838,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,50,9.030327081680298,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,50,5.8385210037231445,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,48,5.713630437850952,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
030,1,0,50,2.5248019695281982,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,2,0,48,2.1190695762634277,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
020,1,0,56,2.6236674785614014,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,63,9.878453969955444,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
020,4,0,52,4.814757347106934,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,1,0,53,10.471820592880249,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
020,2,0,52,10.583595037460327,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
015,4,0,61,7.635691165924072,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,4,0,55,5.0971221923828125,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,3,0,53,6.522743463516235,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,2,0,57,5.377539873123169,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,56,2.006061553955078,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
060,2,0,54,4.555609464645386,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,62,11.391335248947144,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
060,0,0,64,5.71678900718689,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,0,0,48,18.792680263519287,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,47,15.477250814437866,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,1,0,54,12.914051294326782,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
100,0,0,60,12.279272556304932,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
100,4,0,62,10.674451112747192,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,60,10.070808410644531,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,50,0.7846624851226807,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,3,0,51,3.412846565246582,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,4,0,57,1.6083190441131592,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,46,2.041569948196411,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,58,2.660369396209717,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
