020,1,0,64,4.512656927108765,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,2,0,64,7.222360849380493,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,60,10.971215009689331,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,53,8.357308626174927,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,52,7.616195917129517,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,1,0,59,7.152360916137695,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,3,0,55,8.34169602394104,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,1,0,70,5.260169982910156,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,50,4.302756071090698,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,2,0,62,6.5346291065216064,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,0,0,70,6.348593235015869,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,3,0,58,5.652813673019409,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,3,0,67,12.74715781211853,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,64,15.222426652908325,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,1,0,65,7.403534412384033,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,0,70,26.2942898273468,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,2,0,65,11.062726497650146,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,64,1.1087586879730225,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,50,0.5041441917419434,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,46,2.857858419418335,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,51,3.026186227798462,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,62,2.7017335891723633,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
010,4,0,52,1.9766006469726562,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
