030,3,0,63,0.8452126979827881,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,0,70,19.6632297039032,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,65,12.324825525283813,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,68,14.739863157272339,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
030,1,0,63,14.465473890304565,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,0,60,24.637891054153442,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,73,0.8061342239379883,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,0,67,11.931777000427246,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,66,16.659926176071167,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,0,0,66,25.460363388061523,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,2,0,66,20.495405673980713,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,3,0,72,8.804231882095337,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
060,2,0,66,9.707549333572388,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,3,0,75,35.91495132446289,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,72,30.602832078933716,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,69,48.98719525337219,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,0,0,65,32.05555057525635,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,2,0,75,36.97324061393738,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,0,71,35.772878646850586,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,0,0,53,2.253955602645874,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,4,0,60,7.300908327102661,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
005,2,0,61,18.478811264038086,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,3,0,57,3.2457568645477295,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,56,17.131903171539307,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
005,1,0,59,20.773531198501587,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,65,11.013508319854736,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
