100,1,0,56,1.453289270401001,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,3,0,73,1.9046459197998047,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,4,0,61,4.248701333999634,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,71,1.171241044998169,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,0,68,1.2129178047180176,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,4,0,66,1.510033130645752,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,2,0,67,4.0984907150268555,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
030,2,0,61,3.9626269340515137,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,0,0,67,10.456140756607056,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,71,15.499089002609253,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
005,0,0,59,0.8010091781616211,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,52,0.38661742210388184,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
005,4,0,42,0.3101065158843994,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,50,0.5379471778869629,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,0,0,49,0.5989158153533936,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,54,5.719683885574341,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,51,0.6437427997589111,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,64,0.4063911437988281,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,55,0.4441673755645752,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,51,0.49106550216674805,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,55,0.4152688980102539,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,65,0.4946320056915283,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
020,0,0,65,0.562584638595581,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,0,66,0.673663854598999,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,0,54,0.606708288192749,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,60,0.9866752624511719,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,0,65,1.577871561050415,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,63,1.7994463443756104,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,0,62,1.7819762229919434,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,62,2.2733724117279053,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,0,71,3.652574062347412,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,3,0,77,2.6729841232299805,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,1,0,61,1.289597988128662,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,0,0,59,0.4864053726196289,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,69,0.8666694164276123,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,4,0,61,4.8619654178619385,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,1,0,71,1.5643301010131836,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,0,68,4.781299591064453,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,3,0,64,1.454848051071167,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,2,0,68,1.8911776542663574,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,2,0,59,4.962105751037598,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
030,4,0,58,3.605330467224121,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,0,45,5.128004550933838,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
100,4,0,73,13.595383644104004,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,59,6.436974287033081,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,50,0.8150479793548584,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,55,0.5204391479492188,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,50,0.3184049129486084,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,4,0,50,0.33579230308532715,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,58,0.31787896156311035,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,49,0.3756752014160156,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,44,0.4078538417816162,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,53,0.66156005859375,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,55,0.5167951583862305,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,50,0.667464017868042,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,1,0,61,0.4822962284088135,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,62,0.5550658702850342,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,3,0,50,2.5295419692993164,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,59,0.5671050548553467,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,61,0.4806361198425293,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,56,0.428295373916626,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,0,59,5.286475896835327,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,0,68,0.4883003234863281,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,3,0,54,0.6763103008270264,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,0,71,0.693129301071167,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,0,56,0.7253024578094482,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,61,1.4014759063720703,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,4,0,57,0.880173921585083,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,66,1.0253589153289795,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,0,59,0.79036545753479,{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
060,3,0,69,1.1616897583007812,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,2,0,68,1.3903651237487793,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,75,1.358281135559082,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,71,1.687340497970581,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
005,2,0,48,3.6975393295288086,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,2,0,72,1.6009845733642578,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,0,73,1.8054962158203125,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,73,1.2552659511566162,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,66,3.864009141921997,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,70,4.3863372802734375,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,57,0.301605224609375,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,48,0.40504884719848633,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,3,0,48,0.3523988723754883,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
005,4,0,46,0.42944765090942383,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,44,0.5744500160217285,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,64,0.42645716667175293,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
010,0,0,50,0.7518045902252197,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,54,0.7563357353210449,{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
010,3,0,60,0.8498635292053223,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,1,0,57,0.3819608688354492,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,67,0.6855099201202393,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,2,0,50,0.44915080070495605,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,60,0.4094672203063965,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,52,2.2160675525665283,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
020,3,0,69,0.7361001968383789,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,44,0.5909700393676758,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
020,0,0,47,0.9393658638000488,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,54,1.2202556133270264,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,68,0.7459619045257568,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
030,1,0,62,2.3658363819122314,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,0,61,0.8512775897979736,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
