010,0,0,45,4.850384712219238,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,0,56,0.5812439918518066,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,50,2.137053966522217,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,51,8.37772798538208,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,62,6.0924601554870605,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
030,2,0,47,3.5828473567962646,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,52,10.90186595916748,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,44,9.327089071273804,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,51,7.59914493560791,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,55,3.697963237762451,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
