030,0,0,72,4.707164287567139,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,0,67,17.489295482635498,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,0,57,24.542629957199097,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,1,0,71,4.332530736923218,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,63,23.692289113998413,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,71,26.876368284225464,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,76,26.753156423568726,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,0,0,50,1.832108736038208,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,2,0,66,12.810080766677856,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,0,58,13.558415651321411,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,1,0,55,13.964626550674438,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,4,0,62,14.555824041366577,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
010,1,0,48,11.99732518196106,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,55,12.087459564208984,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,61,20.057636976242065,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,61,8.93393874168396,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,54,18.3362033367157,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,64,18.292187213897705,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,66,7.781335115432739,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,57,10.141035318374634,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,53,22.156475067138672,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,65,6.484996795654297,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,0,0,57,11.848920822143555,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,51,5.695020914077759,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,55,15.963678121566772,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,68,15.85917329788208,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,0,0,69,5.477334976196289,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,1,0,68,9.303847789764404,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,2,0,60,11.471115112304688,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,4,0,60,16.27003812789917,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
