015,2,0,65,8.81376838684082,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,55,5.735886096954346,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,0,65,12.5627281665802,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,50,12.072111129760742,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,65,10.74624228477478,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,60,8.930882930755615,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,50,7.233702182769775,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,0,0,45,1.7584812641143799,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,65,6.83470606803894,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,55,4.96351432800293,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,75,7.026960372924805,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,70,15.144797563552856,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,0,55,11.039974451065063,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,60,12.47571849822998,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,70,3.250863552093506,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,55,2.184239387512207,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,40,13.7000732421875,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,65,9.712367534637451,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,65,6.541713237762451,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,60,3.1020736694335938,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,65,10.679036855697632,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,0,65,17.97645401954651,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,75,19.068660259246826,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,70,14.010147333145142,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
