015,4,0,70,3.880349636077881,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,0,55,8.74138617515564,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,65,13.459685325622559,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,0,65,3.6517016887664795,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,65,4.081206798553467,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,60,2.5685906410217285,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,65,3.999598741531372,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,70,2.62005615234375,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,40,14.872650384902954,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,75,9.020806789398193,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,40,11.930144786834717,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,75,1.9372220039367676,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,0,65,12.423443078994751,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,75,5.179486036300659,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,0,80,18.837044715881348,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,3,0,70,0.9508731365203857,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,45,0.34582948684692383,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,40,6.067394733428955,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,65,2.4374594688415527,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,65,2.421250343322754,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,65,0.7925422191619873,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,65,3.369957208633423,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,60,3.88472843170166,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,70,12.25184416770935,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,60,14.210039138793945,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,55,8.837592601776123,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,70,15.523909091949463,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,80,10.115723848342896,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,70,13.640230894088745,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,65,11.784474849700928,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,80,10.68222975730896,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,80,11.395918607711792,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,50,11.84229063987732,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,70,12.586629867553711,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,70,11.992897272109985,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,50,2.391427755355835,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,55,2.3112242221832275,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,50,1.7893226146697998,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,80,1.4241600036621094,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,60,4.867146730422974,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,60,5.136784315109253,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,50,6.205002307891846,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,60,6.028733253479004,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,65,1.1293513774871826,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,65,15.502152442932129,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,0,60,9.238236665725708,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,85,7.955747127532959,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,0,75,1.833158254623413,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,65,10.249305963516235,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,65,3.4700088500976562,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,65,8.180658102035522,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,70,8.661122560501099,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,0,70,4.867900133132935,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,75,2.270552396774292,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,70,10.950487852096558,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
