005,2,0,50,2.0629169940948486,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,55,3.741986036300659,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,70,6.0306243896484375,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,70,3.188836097717285,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,65,4.685168266296387,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,55,17.01129913330078,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,0,55,11.024938821792603,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,70,10.234467506408691,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,65,5.990010499954224,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,3,0,60,3.201826333999634,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,55,14.02499794960022,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,55,11.539376497268677,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,60,15.148254871368408,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,4,0,70,15.198644638061523,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,75,10.206269264221191,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,0,80,11.185643672943115,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
020,0,0,70,6.281131029129028,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,70,8.471096754074097,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,0,60,8.061012983322144,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,55,6.331117391586304,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,45,10.69968056678772,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,60,1.6318879127502441,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,60,10.45591950416565,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,50,9.458216667175293,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,65,4.147939682006836,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,0,50,8.431450843811035,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,45,10.764492988586426,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,60,8.316969156265259,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,45,9.359338283538818,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,55,9.624074459075928,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,0,65,12.898980617523193,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,50,4.858796834945679,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,70,10.386356115341187,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,55,7.13887357711792,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,75,2.3177573680877686,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,0,70,16.767850637435913,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,50,15.992666244506836,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,4,0,60,15.190369367599487,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,0,60,14.992830753326416,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
