005,4,0,50,1.0541539192199707,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,50,4.001392364501953,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,55,4.807075262069702,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,45,1.9465961456298828,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,55,0.4451918601989746,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,50,2.27054500579834,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,50,3.7015624046325684,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,50,12.60119366645813,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,45,6.570972204208374,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,0,0,60,7.761300325393677,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,55,12.691190958023071,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,50,6.549488067626953,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,60,9.033729791641235,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,0,45,10.436322689056396,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,65,11.73866605758667,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,50,19.699952125549316,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,55,2.5934886932373047,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,50,3.2518951892852783,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,45,2.516113042831421,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,50,0.3664565086364746,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,50,0.7133002281188965,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,50,3.806034564971924,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,50,7.769298315048218,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,1,0,50,9.31795883178711,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,55,2.5662546157836914,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,45,3.7082390785217285,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,50,3.0488128662109375,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,50,7.451430320739746,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,40,3.264631748199463,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,60,4.419431924819946,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,50,2.1804311275482178,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,50,9.37616515159607,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,1,0,50,4.710265159606934,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,55,4.566138505935669,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,4,0,55,3.0646653175354004,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,50,1.9862606525421143,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,60,2.1423699855804443,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,55,0.9075760841369629,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,2,0,50,7.027935743331909,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,45,4.27741003036499,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,0,45,5.641690015792847,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,55,0.5291199684143066,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,50,3.4540863037109375,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,50,0.8450648784637451,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,50,0.2837972640991211,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,0,50,14.503230333328247,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,0,50,0.8597538471221924,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,65,2.523996353149414,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,55,8.838827848434448,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,1,0,45,26.245895385742188,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,4,0,45,20.976433277130127,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,45,0.9224081039428711,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,50,15.84403133392334,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,50,9.464162826538086,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,1,0,50,1.6879701614379883,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,0,45,9.62148404121399,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,50,8.126797676086426,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,60,7.851061105728149,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,50,0.184495210647583,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,50,3.8229563236236572,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,45,3.2976951599121094,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,50,6.792869806289673,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,50,15.249083995819092,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
