020,4,0,55,1.9790000915527344,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,45,8.376098394393921,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,75,10.11569619178772,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,60,5.541850805282593,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,75,5.139774322509766,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,45,22.308892965316772,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,60,9.837618350982666,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,80,1.7632958889007568,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,60,2.4470443725585938,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,60,5.498947620391846,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,60,4.301994323730469,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,65,14.651826620101929,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,80,24.918530702590942,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,55,13.180894136428833,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,55,10.879180192947388,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,55,9.764528751373291,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,55,4.218522548675537,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,55,7.142246723175049,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,55,15.333683013916016,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,4,0,60,7.786609172821045,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,45,14.755496501922607,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,45,16.444361448287964,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,45,14.03251838684082,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,55,17.7275288105011,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,75,14.19185757637024,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,60,18.504601001739502,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,55,11.235520601272583,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,80,12.640769481658936,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,75,2.017713785171509,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,65,10.46472978591919,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,60,12.717134714126587,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,60,10.489626407623291,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,60,19.686924934387207,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,55,3.785860300064087,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,80,20.985072374343872,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,55,14.263784885406494,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,55,14.559525489807129,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,55,5.292775630950928,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,45,17.783648014068604,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,45,9.510350942611694,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,55,9.76994514465332,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,55,21.135448455810547,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,45,16.72875738143921,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,1,0,80,10.800283193588257,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,80,5.669979572296143,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,75,10.193770408630371,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,60,15.358806133270264,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,60,2.280073881149292,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,60,15.439292907714844,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,55,1.1674432754516602,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,75,6.022453308105469,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,60,3.086975336074829,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,60,4.276203155517578,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,65,11.759776830673218,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,55,5.9555504322052,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,55,12.487513065338135,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,55,14.851038932800293,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,55,4.447087526321411,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,55,6.458195686340332,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,55,2.2160229682922363,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,60,4.776972770690918,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,45,7.295868873596191,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,3,0,60,4.868298292160034,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,45,12.504817962646484,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,45,8.648073673248291,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,4,0,55,1.1208140850067139,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,80,12.240887641906738,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,60,14.34334421157837,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,75,13.186365365982056,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,55,5.756646156311035,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,65,13.743536233901978,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,55,3.5522079467773438,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,75,19.06798505783081,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,55,4.868547677993774,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,80,12.773375272750854,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,60,3.798711061477661,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,60,13.142839193344116,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,60,20.820110082626343,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,45,0.41698145866394043,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,45,0.8483951091766357,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,55,2.7938971519470215,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,60,1.4173667430877686,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,80,3.5518553256988525,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,55,3.8228721618652344,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,4,0,60,7.768063068389893,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,60,3.703071355819702,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,60,3.650765895843506,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,45,25.298088550567627,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,80,25.712154626846313,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,75,7.287634611129761,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,55,8.002585649490356,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,55,0.823915958404541,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,60,19.27953004837036,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,55,22.262413501739502,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,65,19.602036237716675,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,55,21.798460483551025,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,75,5.299753189086914,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,55,12.48682188987732,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,55,1.2014784812927246,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,80,1.3918201923370361,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,55,18.77230668067932,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,45,4.272677659988403,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,45,7.731132984161377,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,45,12.007588386535645,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,75,13.040510177612305,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,60,13.755585193634033,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,55,8.43981122970581,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,60,18.095587253570557,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,55,3.7918996810913086,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,65,13.197672605514526,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,80,21.321295976638794,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,60,7.5132155418396,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,60,21.4615535736084,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,75,12.819541215896606,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,60,16.38556480407715,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,55,18.478026390075684,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,55,19.578846216201782,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,55,18.015908241271973,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,45,8.9803147315979,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,55,3.38401460647583,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,75,2.5376224517822266,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,45,11.956941366195679,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,4,0,60,1.0994987487792969,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,60,4.2698588371276855,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,55,13.285489082336426,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,45,13.329383611679077,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,4,0,60,4.22690486907959,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,80,16.606816053390503,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,60,19.553054094314575,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,55,0.6271476745605469,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,80,10.434123992919922,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,60,10.678500890731812,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,55,2.9829392433166504,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,75,14.288159132003784,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,65,8.289396047592163,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,55,4.926943063735962,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,55,6.297421455383301,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,55,3.118595600128174,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,55,14.373607873916626,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,45,15.922772884368896,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,1,0,55,1.5665309429168701,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,45,14.697639226913452,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,45,12.464338302612305,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,4,0,60,17.33701205253601,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,75,7.806132078170776,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,60,9.814590215682983,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,60,7.938417673110962,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,55,19.15564513206482,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,3,0,60,7.54272985458374,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,65,6.018417835235596,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,80,10.178022623062134,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,80,9.630592584609985,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,75,7.339522361755371,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,55,16.313029527664185,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,60,7.687801837921143,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,55,7.887714862823486,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,55,8.556318521499634,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,55,19.141537189483643,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,45,0.3287544250488281,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,55,2.4935238361358643,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,60,7.260061264038086,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,60,8.048422813415527,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,45,12.073556661605835,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,0,0,55,11.272372245788574,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,2,0,55,9.838408946990967,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,80,11.437961339950562,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,65,11.331706762313843,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,75,8.682749271392822,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,55,9.90647006034851,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,45,12.820959091186523,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,4,0,60,9.646502017974854,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,60,8.108267545700073,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,55,9.396347045898438,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,0,60,9.10681414604187,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,80,14.09223198890686,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,75,14.021830797195435,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,55,19.87549638748169,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,0,55,20.18438148498535,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
