100,4,0,65,1.5612094402313232,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
005,0,0,65,0.17591047286987305,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,67,0.17395281791687012,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,52,0.17425155639648438,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,62,0.17484354972839355,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,62,0.17502927780151367,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,59,0.18186688423156738,{'C': 10, 'gamma': 0.1, 'kernel': 'poly'}
010,1,0,59,0.1830439567565918,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,59,0.18372464179992676,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,62,0.18279671669006348,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,58,0.18201327323913574,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,57,0.18797993659973145,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
015,1,0,58,0.1928849220275879,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,59,0.19319438934326172,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,60,0.19544363021850586,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,66,0.1882309913635254,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,59,0.2176506519317627,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,61,0.22020959854125977,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,51,0.2017970085144043,{'C': 1, 'gamma': 0.1, 'kernel': 'poly'}
020,3,0,65,0.23491454124450684,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,54,0.19942045211791992,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,0,0,68,0.25200510025024414,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,1,0,62,0.31634521484375,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
030,2,0,60,0.28320884704589844,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,3,0,66,0.3802530765533447,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,4,0,66,0.23986148834228516,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,0,0,69,0.8202924728393555,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
060,1,0,66,1.413564920425415,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,2,0,63,0.4776616096496582,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
060,3,0,69,0.5776166915893555,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
060,4,0,69,0.7873814105987549,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,0,67,1.3610479831695557,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
100,1,0,67,1.2013239860534668,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
100,2,0,71,1.4503717422485352,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
