005,0,8000,62,0.5352447032928467,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,8000,66,0.5283896923065186,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,2,8000,60,0.5086491107940674,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,3,8000,69,0.5214242935180664,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,8000,61,0.5006716251373291,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,8000,66,0.6427912712097168,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,8000,68,0.6245596408843994,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,8000,72,0.5795376300811768,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,3,8000,68,0.593491792678833,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,8000,66,0.6039402484893799,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,8000,70,0.628119945526123,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,1,8000,70,0.7077369689941406,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,8000,72,0.6451592445373535,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,8000,70,0.6525118350982666,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,8000,68,0.7179608345031738,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,8000,66,0.7033014297485352,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
020,1,8000,71,0.7454226016998291,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,8000,75,0.7472579479217529,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,8000,70,0.8017587661743164,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,8000,72,0.7410261631011963,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,8000,73,0.882573127746582,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,1,8000,74,0.996880292892456,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
030,2,8000,73,0.9894075393676758,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,8000,76,0.8888812065124512,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,4,8000,72,0.8871955871582031,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,8000,73,1.7064650058746338,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,8000,77,1.7256791591644287,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,8000,75,1.7479491233825684,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,8000,75,1.729499101638794,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,8000,75,1.7009623050689697,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,8000,78,2.7553811073303223,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,8000,75,2.7637698650360107,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,2,8000,75,2.6330018043518066,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,8000,76,2.732147455215454,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,8000,75,2.7034778594970703,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,0,8000,61,0.5317816734313965,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,8000,66,0.5192642211914062,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
005,2,8000,60,0.5422754287719727,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,3,8000,69,0.5187773704528809,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,8000,59,0.5312240123748779,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,0,8000,66,0.6023857593536377,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,8000,68,0.6198060512542725,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,8000,72,0.5342190265655518,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,3,8000,68,0.5500662326812744,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,8000,66,0.5589289665222168,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,8000,70,0.6146838665008545,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,1,8000,70,0.695209264755249,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,2,8000,72,0.6245596408843994,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,8000,72,0.6505126953125,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,4,8000,68,0.6654059886932373,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
