010,4,0,50,0.19556808471679688,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,0,0,74,0.2160356044769287,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,1,0,50,0.21593523025512695,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,52,0.21793365478515625,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,3,0,66,0.21448969841003418,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,52,0.21485185623168945,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,0,0,67,0.23997068405151367,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,57,0.24467873573303223,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,2,0,51,0.24346494674682617,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,3,0,54,0.24295616149902344,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,4,0,64,0.2404494285583496,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,0,0,68,0.3132619857788086,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,1,0,72,0.30841565132141113,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,0,66,0.30994296073913574,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,3,0,70,0.308504581451416,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,4,0,73,0.31028079986572266,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,0,0,69,0.6079936027526855,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,1,0,66,0.6024270057678223,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
060,2,0,70,0.5868852138519287,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
060,3,0,62,0.6027214527130127,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,4,0,63,0.5916078090667725,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
100,0,0,70,0.9697544574737549,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
100,1,0,70,0.9695191383361816,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,70,0.9725761413574219,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,3,0,70,0.9567868709564209,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,70,0.9647912979125977,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,62,0.2224283218383789,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,62,0.20519566535949707,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,55,0.20451831817626953,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,0,55,0.2383403778076172,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,61,0.20314383506774902,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,58,0.22812438011169434,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,0,49,0.22919988632202148,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,2,0,56,0.22899961471557617,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,3,0,56,0.22983741760253906,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,4,0,50,0.22814321517944336,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,0,0,49,0.24950075149536133,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,1,0,65,0.25444698333740234,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,2,0,65,0.2491908073425293,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,3,0,55,0.2539644241333008,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,4,0,52,0.25011539459228516,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,0,0,66,0.28249025344848633,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,0,60,0.27596306800842285,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,0,67,0.27669239044189453,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,70,0.2736639976501465,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,54,0.2788121700286865,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,0,0,65,0.3481414318084717,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,1,0,72,0.3451251983642578,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,2,0,66,0.35137200355529785,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,3,0,66,0.35341787338256836,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,4,0,54,0.3491644859313965,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
060,0,0,68,0.6462287902832031,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
060,1,0,50,0.664355993270874,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
060,2,0,70,0.6176605224609375,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,0,54,0.6379868984222412,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
060,4,0,70,0.6236128807067871,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,0,70,0.9876716136932373,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,70,0.987750768661499,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,2,0,71,1.0101325511932373,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,70,0.98457932472229,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
100,4,0,70,1.018022060394287,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,51,0.2115316390991211,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,62,0.20606017112731934,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,57,0.2071216106414795,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,55,0.20587539672851562,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,0,61,0.20359587669372559,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,52,0.2297501564025879,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,1,0,49,0.22682690620422363,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,2,0,53,0.22982096672058105,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,0,60,0.22640180587768555,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,4,0,68,0.22422337532043457,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,0,62,0.25190305709838867,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
015,1,0,50,0.25206661224365234,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,52,0.25350308418273926,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,3,0,55,0.24983954429626465,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,4,0,52,0.2528233528137207,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,0,0,63,0.2752218246459961,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
020,1,0,57,0.2816801071166992,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,2,0,51,0.277146577835083,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,3,0,54,0.2801220417022705,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,4,0,54,0.2758655548095703,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,0,0,52,0.3507099151611328,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,1,0,72,0.34833502769470215,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,2,0,66,0.3451879024505615,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,3,0,70,0.34419679641723633,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,4,0,74,0.34994053840637207,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,0,68,0.5935664176940918,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,1,0,68,0.591672420501709,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
060,2,0,68,0.5852112770080566,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,62,0.5972967147827148,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,4,0,69,0.5799694061279297,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,0,71,0.9239542484283447,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,70,0.9299604892730713,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,71,0.9373917579650879,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,70,0.9353318214416504,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,71,0.9299871921539307,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,0,51,0.20409083366394043,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,62,0.19488525390625,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,57,0.193678617477417,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,0,65,0.19505643844604492,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,4,0,61,0.19350171089172363,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,0,0,58,0.21348190307617188,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,0,60,0.21117949485778809,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,55,0.21358036994934082,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,56,0.21365594863891602,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,4,0,70,0.21042680740356445,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,0,74,0.23407411575317383,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,1,0,63,0.23413753509521484,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,2,0,52,0.23445582389831543,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
